學年度,學校代碼,學校名稱,縣市名稱,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
112,1053,元培醫事科技大學,18 新竹市,6509,14634,7380,26625,59676,31889,14999,46738,13373,40334,18719,118,14,45105,389312,8533,590,5166,11599,252403,6,199,8
112,1054,景文科技大學,01 新北市,12306,12541,5522,31194,53581,52412,18706,51317,16851,66114,0,148,0,43112,104433,14930,361,7539,55996,160088,0,207,12
112,1055,中華醫事科技大學,11 臺南市,5338,13736,5638,19660,62080,31801,13269,45537,11837,19796,19281,95,0,45273,289085,8573,354,8910,17693,811238,3,82,23
112,1056,東南科技大學,01 新北市,7752,14438,4191,25856,49746,29887,15469,38013,16794,28466,577,88,0,17560,41129,7803,542,2978,2399,143716,4,149,7
112,1057,德明財經科技大學,30 臺北市,20002,12499,3546,22942,47944,66859,20381,39793,15278,31611,40797,225,10,58470,213984,16169,357,11645,17752,271136,8,848,342
112,1058,明道大學,07 彰化縣,6750,16929,7739,14177,38659,32834,18422,56741,22000,23835,3544,65,0,387,88271,5300,300,794,2861,2438,0,456,21
112,1060,南開科技大學,08 南投縣,9812,12545,3221,17842,43192,26933,16824,41121,16237,26346,25034,126,0,18825,230668,16356,450,2888,16633,228466,7,280,20
112,1061,中華科技大學,30 臺北市,8564,8650,3512,21904,42071,22756,11645,27976,7895,52128,8307,50,0,39365,117329,4531,1194,7845,13185,66476,1,675,25
112,1062,僑光科技大學,19 臺中市,17256,11957,3338,20921,44599,53751,17099,37963,12752,43829,18632,74,5,44447,130055,12233,600,31728,71748,535040,10,579,131
112,1063,育達科技大學,05 苗栗縣,8608,17217,5797,25110,60555,75005,24124,68178,17081,44560,7538,72,0,55349,141317,18567,832,7045,24562,46082,0,274,4
112,1064,美和科技大學,13 屏東縣,15462,13951,4775,21133,62112,53031,18417,45360,16393,38333,0,66,0,8798,46885,18669,585,12505,31402,927792,3,240,0
112,1065,吳鳳科技大學,10 嘉義縣,6796,14387,4651,32567,64860,41984,17863,56797,24972,37909,26596,125,0,14648,120918,11724,423,5302,35070,22942,6,297,0
112,1066,環球科技大學,09 雲林縣,10342,16186,4989,17622,54397,50355,20138,53579,33877,52649,0,65,0,23682,74177,11654,507,2576,20226,8615,4,318,26
112,1069,修平科技大學,06 臺中市,13826,13899,3925,25221,69868,33042,19081,46757,11339,38753,51,209,114,45779,63457,19796,661,7540,25068,61790,11,277,16
112,1070,長庚科技大學,03 桃園市,3228,25368,3428,20695,77519,30956,14701,55313,13334,41601,17800,60,0,192404,719166,35357,1019,10618,32684,1377261,14,282,121
112,1071,臺北城市科技大學,30 臺北市,10440,10287,2385,27967,53693,24695,14380,42057,14033,20984,28148,59,0,15682,226298,8835,885,3510,14293,62137,4,475,50
112,1072,敏實科技大學,04 新竹縣,6581,2954,957,17783,49502,13752,7286,16869,15316,25429,0,115,43,14581,43265,5649,289,969,2947,9647,2,39,0
112,1073,醒吾科技大學,01 新北市,8558,12975,4880,15046,36777,37818,20850,42905,12162,23176,11946,48,0,33342,116059,12025,1415,8055,18813,99497,7,0,0
112,1075,文藻外語大學,50 高雄市,11820,13066,7043,9915,18583,31232,23644,61484,18540,187581,0,128,0,69894,720597,67178,901,18017,66268,958271,15,383,126
112,1076,華夏科技大學,01 新北市,5236,8187,2624,32697,57984,20640,9618,28030,13584,30500,6716,77,0,20408,194685,7871,340,1646,4933,82424,0,234,34
